name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8685024723765997,0.8789207009128432,0.8779954789401186,0.8746202279110378
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8854667629075536,0.9002015499110859,0.8927193255959305,0.8906646630698095
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8950130604925765,0.9076973930844423,0.9046866399080994,0.9044852736025085
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9277059387748275,0.9419901929190031,0.9373743311422397,0.9393982409732959
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.929396304220465,0.9429579578699885,0.9381438377635138,0.9403136938175664
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9273389934195834,0.9423601480384016,0.93723762746623,0.9395156701647587
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9288083392944422,0.9426129750775157,0.9381678930985033,0.9401441555106279
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9259430150370992,0.9401187615692796,0.9362331021806554,0.937936434701356
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9252084230196982,0.9396337213464477,0.9355201754701096,0.937356090013836
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9279266886121784,0.9417980331613085,0.937623342679997,0.939454753783705
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9259431229304702,0.939919893152912,0.9354716987532072,0.9374456525345479
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9275593656301352,0.9417324309245156,0.9371702891841471,0.9391877706038428
Experimento15,True,5,il,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9262368086867111,0.941569558926019,0.93661763284484,0.938832266319592
Experimento16,True,5,il,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9038283804881312,0.9229786712777329,0.9144574439897687,0.9163729528056015
Experimento16,True,5,il,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9047091680234258,0.9226906593317474,0.9159037775818051,0.9173958491867433
Experimento16,True,5,il,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8992726907851509,0.9066316853378217,0.9070537652895748,0.9040146739549918
Experimento16,True,5,il,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9093393041524923,0.9243970865758231,0.9200834290827092,0.9212414570058657
